,CO,DOWNSTREAM,UPSTREAM,DATE_TIME
1150751,ALB,117066026.021755,43404954.622623,2020-03-19 05:45:00
1150752,ALB,117425171.162243,42107413.964621,2020-03-19 06:00:00
1150753,ALB,125342430.067426,41522125.980276,2020-03-19 06:15:00
1150754,ALB,129006297.23442,34670805.348969,2020-03-19 06:30:00
1150755,ALB,139985451.81282,40539862.971172,2020-03-19 06:45:00
1150756,ALB,139101567.30799,35252217.470176,2020-03-19 07:00:00
1150757,ALB,156564798.002834,31889512.018477,2020-03-19 07:15:00
1150758,ALB,176357539.537013,33749962.37961,2020-03-19 07:30:00
1150759,ALB,203090823.871532,37967900.66819,2020-03-19 07:45:00
1150760,ALB,215167343.865318,44658448.924096,2020-03-19 08:00:00
1150761,ALB,245851469.458898,55805333.278556,2020-03-19 08:15:00
1150762,ALB,256553999.104573,62740878.508176,2020-03-19 08:30:00
1150763,ALB,289825037.987049,52566866.96248,2020-03-19 08:45:00
1150764,ALB,268031390.749583,50024100.699664,2020-03-19 09:00:00
1150765,ALB,259222173.298821,71594048.956577,2020-03-19 09:15:00
1150766,ALB,279849686.759293,79316810.617984,2020-03-19 09:30:00
1150767,ALB,301049683.542733,68959716.96762,2020-03-19 09:45:00
1150768,ALB,299090884.592045,65047018.378245,2020-03-19 10:00:00
1150769,ALB,290759839.630682,72924871.453402,2020-03-19 10:15:00
1150770,ALB,265733552.913472,57853063.740601,2020-03-19 10:30:00
1150771,ALB,259298309.527426,61460772.662948,2020-03-19 10:45:00
1150772,ALB,267054126.472782,54665367.263019,2020-03-19 11:00:00
1150773,ALB,269480019.168484,65754617.423244,2020-03-19 11:15:00
1150774,ALB,278061592.592787,59975248.761977,2020-03-19 11:30:00
1150775,ALB,265642179.642696,51377389.380559,2020-03-19 11:45:00
1150776,ALB,247531838.304719,47989547.688152,2020-03-19 12:00:00
1150777,ALB,256439013.446772,47173190.076563,2020-03-19 12:15:00
1150778,ALB,276019004.646651,39977990.372759,2020-03-19 12:30:00
1150779,ALB,275318801.424487,38902928.882021,2020-03-19 12:45:00
1150780,ALB,270453600.51943,41230894.872817,2020-03-19 13:00:00
1150781,ALB,268185442.913921,43824100.193774,2020-03-19 13:15:00
1150782,ALB,273470103.849808,48292252.545278,2020-03-19 13:30:00
1150783,ALB,315576592.799889,49133077.877421,2020-03-19 13:45:00
1150784,ALB,296955888.741646,50877994.321735,2020-03-19 14:00:00
1150785,ALB,304906608.705888,51910464.144906,2020-03-19 14:15:00
1150786,ALB,307814937.748985,59188892.346212,2020-03-19 14:30:00
1150787,ALB,301905495.448742,55014632.50987,2020-03-19 14:45:00
1150788,ALB,310933055.990801,50133765.579135,2020-03-19 15:00:00
1150789,ALB,341271456.089378,51288551.871492,2020-03-19 15:15:00
1150790,ALB,360240287.923204,52006823.835727,2020-03-19 15:30:00
1150791,ALB,346576679.907746,58879399.485405,2020-03-19 15:45:00
1150792,ALB,331039839.623829,57599936.758576,2020-03-19 16:00:00
1150793,ALB,297575447.062951,70724337.45139,2020-03-19 16:15:00
1150794,ALB,287206086.880863,60664483.200906,2020-03-19 16:30:00
1150795,ALB,298860752.995753,52623175.513709,2020-03-19 16:45:00
1150796,ALB,300084237.131237,57314703.133285,2020-03-19 17:00:00
1150797,ALB,315180796.197059,51873141.281397,2020-03-19 17:15:00
1150798,ALB,309680849.718165,43779381.030987,2020-03-19 17:30:00
1150799,ALB,338819517.537108,44422351.494616,2020-03-19 17:45:00
1150800,ALB,357703740.202312,41511656.91748,2020-03-19 18:00:00
1150801,ALB,392534789.090812,45881691.660133,2020-03-19 18:15:00
1150802,ALB,370723263.313189,41474189.936669,2020-03-19 18:30:00
1150803,ALB,366107695.331006,40161269.246858,2020-03-19 18:45:00
1150804,ALB,372304370.900504,44471834.547751,2020-03-19 19:00:00
